Building_Number,Building_Name,Building,State,A10_Cleaning,A30_Utilities_Fuel,A40_Mechanic_Oper_Maint,Grand_Total,Overall_Satisfaction,Occupancy,Building_Sq_Ft
PA0277BG,Wm J Green Jr Fb,PA0277BG-Wm J Green Jr Fb,PA,1285747,1277097,927313,3490158,4,1000,713506
CA0283CC,Edward R Roybal Fb &,CA0283CC-Edward R Roybal Fb &,CA,1037994,948218,1465286,3451498,5,650,749854
MA0013ZZ,John W. Mccormack Bu,MA0013ZZ-John W. Mccormack Bu,MA,914322,1199818,1319456,3433596,2,550,556865
AK0031AA,Us Federal Building,AK0031AA-Us Federal Building,AK,1127267,1124849,1140799,3392915,3,804,456155
MI0029ZZ,Theodore Levin Us Co,MI0029ZZ-Theodore Levin Us Co,MI,1047281,1096273,1120163,3263716,5,315,603999
DC0522AB,Epa West,DC0522AB-Epa West,DC,802338,1688810,737677,3228825,2,1000,40354
MA0153ZZ,Thomas P. O Neill Jr,MA0153ZZ-Thomas P. O Neill Jr,MA,1305124,621055,1277660,3203839,3,1220,667139
NY0131ZZ,Alex Hamilton Us Cus,NY0131ZZ-Alex Hamilton Us Cus,NY,649195,995701,1558120,3203016,5,200,382085
TX0284DA,E Cabell Fob/Uspo/Ct,TX0284DA-E Cabell Fob/Uspo/Ct,TX,1144707,804438,1153162,3102307,4,1600,898399
DC0026ZZ,Lafayette,DC0026ZZ-Lafayette,DC,706458,1089036,1303398,3098892,2,500,46681
MN0092ZZ,U.S. Courthouse,MN0092ZZ-U.S. Courthouse,MN,941288,1342995,783003,3067285,5,425,474100
CA0295ZZ,Ronald Reagan Fb & C,CA0295ZZ-Ronald Reagan Fb & C,CA,1058985,862250,1141349,3062584,5,250,506215
DC0463ZZ,"601 - 4th St, Nw","DC0463ZZ-601 - 4th St, Nw",DC,1204317,530907,1282631,3017855,5,1100,31653
NY0270ZZ,Emanuel Celler Us Co,NY0270ZZ-Emanuel Celler Us Co,NY,645197,1038292,1312245,2995734,4,318,294394
CA0309ZZ,Robert E. Coyle Fede,CA0309ZZ-Robert E. Coyle Fede,CA,751534,751001,1464401,2966937,3,250,392508
CA0168ZZ,Federal Building,CA0168ZZ-Federal Building,CA,960017,1122815,857730,2940561,5,250,515903
PA0158ZZ,United States Courth,PA0158ZZ-United States Courth,PA,985686,1220058,687420,2893164,4,486,703986
VA0321ZZ,Av Bryan Sr Courthou,VA0321ZZ-Av Bryan Sr Courthou,VA,898265,551027,1372994,2822286,3,250,31373
PA0278BG,James A Byrne Us Cou,PA0278BG-James A Byrne Us Cou,PA,1263044,807733,673990,2744767,4,646,738524
DC0030ZZ,National Building Mu,DC0030ZZ-National Building Mu,DC,620644,945145,1102682,2668471,5,120,11615
MO0050ZZ,Charles Evans Whitta,MO0050ZZ-Charles Evans Whitta,MO,803160,1013584,847960,2664705,3,325,545146
DC0086ZZ,Thomas P. Oneill Jr.,DC0086ZZ-Thomas P. Oneill Jr.,DC,855855,687406,1079960,2623221,2,301,47703
LA0085ZZ,H Boggs Fed Bldg/Cou,LA0085ZZ-H Boggs Fed Bldg/Cou,LA,910803,708890,957676,2577370,5,400,597705
OH0301ZZ,Carl B Stokes U.S. C,OH0301ZZ-Carl B Stokes U.S. C,OH,940636,920196,662300,2523132,5,275,605754
FL0017ZZ,Bryan Simpson Unites,FL0017ZZ-Bryan Simpson Unites,FL,819064,864919,785586,2469569,4,239,401627
FL0010ZZ,"Wilkie D. Ferguson,","FL0010ZZ-Wilkie D. Ferguson,",FL,918183,870657,656087,2444927,5,367,482139
MD0232ZZ,Southern Md Courthse,MD0232ZZ-Southern Md Courthse,MD,753206,529324,1135291,2417820,4,170,22308
CO0039ZZ,Byron G.Rogers Fb-Ct,CO0039ZZ-Byron G.Rogers Fb-Ct,CO,595226,809644,1009429,2414298,2,500,623294
DC0094ZZ,Howard T. Markey Nat,DC0094ZZ-Howard T. Markey Nat,DC,571608,823317,1015633,2410558,4,315,19845
AZ0303ZZ,Sandra D. O'Connor C,AZ0303ZZ-Sandra D. O'Connor C,AZ,802227,759217,842922,2404366,5,400,482997
CA0091AA,Appraisers Bldg,CA0091AA-Appraisers Bldg,CA,930448,444001,1020208,2394658,4,400,435519
TX0224ZZ,Fg Lanham Fed Bldg,TX0224ZZ-Fg Lanham Fed Bldg,TX,840354,706591,847565,2394510,3,1932,669336
WA0102ZZ,Us District Courthou,WA0102ZZ-Us District Courthou,WA,991148,617937,751800,2360884,4,450,557077
CA0096DD,James R. Browning U.,CA0096DD-James R. Browning U.,CA,1069376,425155,860362,2354893,3,250,312374
MN0086TC,Bishop Henry Whipple,MN0086TC-Bishop Henry Whipple,MN,1144870,415010,778077,2337957,5,800,570172
MD1440ZZ,Edward A Garmatz Us,MD1440ZZ-Edward A Garmatz Us,MD,749607,990102,546384,2286093,2,350,421089
DC0033ZZ,Mary E. Switzer Buil,DC0033ZZ-Mary E. Switzer Buil,DC,676876,858250,710327,2245453,2,375,52615
IL0054ZZ,Federal Building,IL0054ZZ-Federal Building,IL,1056355,391428,773896,2221679,5,730,577223
MO0544AD,Fed Bldg No 1,MO0544AD-Fed Bldg No 1,MO,765441,731085,702512,2199038,4,455,1060933
OH0189CN,John Weld Peck,OH0189CN-John Weld Peck,OH,1001966,474309,674432,2150706,4,1500,689771
FL0012ZZ,Sam M. Gibbons Us Co,FL0012ZZ-Sam M. Gibbons Us Co,FL,680346,763496,684778,2128620,1,240,362364
IN0133ZZ,Minton-Capehart F/B,IN0133ZZ-Minton-Capehart F/B,IN,934286,453075,732525,2119885,4,715,400312
NJ0144ZZ,"Mlk, Jr Courthouse","NJ0144ZZ-Mlk, Jr Courthouse",NJ,602496,307750,1207231,2117476,5,360,308475
WI0044ZZ,Fed Bldg & Us Cthse,WI0044ZZ-Fed Bldg & Us Cthse,WI,1029851,539048,544923,2113821,5,320,427773
TX0211ZZ,B Casey Courthouse,TX0211ZZ-B Casey Courthouse,TX,768432,491615,846475,2106523,4,295,496481
NV0304ZZ,Lloyd D. George Cour,NV0304ZZ-Lloyd D. George Cour,NV,629829,546901,884110,2060841,4,323,368969
PA0144ZZ,Us Customhouse,PA0144ZZ-Us Customhouse,PA,822765,770749,460208,2053722,4,771,435830
OH0028CN,Potter Stewart U.S.,OH0028CN-Potter Stewart U.S.,OH,710086,672147,634322,2016555,5,250,437718
AZ0307ZZ,Evo A. Deconcini Cou,AZ0307ZZ-Evo A. Deconcini Cou,AZ,775035,591995,626635,1993666,4,200,349032
KY0086ZZ,Romano Mazzoli Fb,KY0086ZZ-Romano Mazzoli Fb,KY,813050,638113,528374,1979537,4,1200,417326
OR0052ZZ,Mark O. Hatfield U.S,OR0052ZZ-Mark O. Hatfield U.S,OR,647615,496113,801777,1945505,5,325,451482
GA0010AE,Irs Annex,GA0010AE-Irs Annex,GA,638464,536528,761021,1936012,2,1300,387628
IN0048ZZ,Birch Bayh Fed Bldg,IN0048ZZ-Birch Bayh Fed Bldg,IN,902258,475393,473171,1850821,5,297,359292
CO0061ZZ,Alfred A. Arraj,CO0061ZZ-Alfred A. Arraj,CO,413107,591360,844669,1849136,2,120,252710
TN0088ZZ,Clifford Davis-Odell,TN0088ZZ-Clifford Davis-Odell,TN,654757,574630,590516,1819903,1,250,370149
CA0093ZZ,Federal Office Bldg,CA0093ZZ-Federal Office Bldg,CA,830091,343023,643522,1816636,4,500,291036
AR0063RK,Little Rock Federal,AR0063RK-Little Rock Federal,AR,499021,544680,767581,1811282,4,870,347697
MN0087ZZ,W E Burger Fb & Us C,MN0087ZZ-W E Burger Fb & Us C,MN,789802,649715,364277,1803794,2,219,342289
CO0055ZZ,David Skaggs Researc,CO0055ZZ-David Skaggs Researc,CO,665147,82000,1043957,1791103,2,800,369568
DC0501BC,Sidney Yates (Audito,DC0501BC-Sidney Yates (Audito,DC,642101,458712,654801,1755614,2,650,15232
CO0624AA,Dfc Bldg 810,CO0624AA-Dfc Bldg 810,CO,869462,143021,709634,1722117,3,310,673643
SC0068AA,Strom Thurmond Fb,SC0068AA-Strom Thurmond Fb,SC,640203,583399,486603,1710205,3,475,333926
NE0531ZZ,Robert Denney Fb&Ct,NE0531ZZ-Robert Denney Fb&Ct,NE,637360,414882,657555,1709797,5,400,376156
NE0051ZZ,Edward Zorinsky Fed,NE0051ZZ-Edward Zorinsky Fed,NE,608739,628185,468771,1705694,4,250,356791
GA0007ZZ,M. L. King Jr. Fb,GA0007ZZ-M. L. King Jr. Fb,GA,493603,472570,689760,1655933,5,400,336592
WV0163ZZ,Robert C. Byrd Fb &,WV0163ZZ-Robert C. Byrd Fb &,WV,711974,408465,520025,1640464,5,252,319651
IA0112ZZ,Neal Smith Federal B,IA0112ZZ-Neal Smith Federal B,IA,686231,244169,701754,1632154,5,475,345360
MD0767AG,Noaa Satellite Opera,MD0767AG-Noaa Satellite Opera,MD,570145,127755,927786,1625686,1,500,19835
CO0516AA,Dfc Bldg 41,CO0516AA-Dfc Bldg 41,CO,484415,402880,727535,1614830,4,410,490923
CA0152ZZ,John E. Moss Federal,CA0152ZZ-John E. Moss Federal,CA,560641,286887,756169,1603698,4,531,326958
CA0289JJ,New Commercial Fac,CA0289JJ-New Commercial Fac,CA,572241,320052,708161,1600453,4,75,144257
MS0007ZZ,U.S. Courthouse,MS0007ZZ-U.S. Courthouse,MS,587754,342730,665921,1596406,4,320,391877
FL0067ZZ,Chas. E. Bennett Fb,FL0067ZZ-Chas. E. Bennett Fb,FL,563326,538088,484613,1586027,4,768,299941
MO0039ZZ,Federal Bg,MO0039ZZ-Federal Bg,MO,520158,779142,264060,1563360,4,400,406567
FL0025ZZ,U.S. Courthouse Anne,FL0025ZZ-U.S. Courthouse Anne,FL,545267,569874,446515,1561657,4,296,318503
TX0435HF,1 Justice Park Drive,TX0435HF-1 Justice Park Drive,TX,478197,558210,496987,1533395,5,590,283967
IN0300ZZ,U.S. Courthouse,IN0300ZZ-U.S. Courthouse,IN,679037,331612,522135,1532784,5,164,233692
NY0281ZZ,James M Hanley Fb,NY0281ZZ-James M Hanley Fb,NY,497737,440943,585311,1523991,3,481,294083
AK0013ZZ,Hurff A. Saunders Fb,AK0013ZZ-Hurff A. Saunders Fb,AK,562041,473584,475997,1511621,4,400,284072
WA0953KC,Fed Ctr So Office,WA0953KC-Fed Ctr So Office,WA,546584,579068,382432,1508083,5,179,413214
MD0205ZZ,Ss Metro Center 1,MD0205ZZ-Ss Metro Center 1,MD,412149,551667,540432,1504247,4,400,16820
TX0298ZZ,Gt Leland Federal Bl,TX0298ZZ-Gt Leland Federal Bl,TX,474903,361789,662409,1499101,3,900,346667
NY0371ZZ,Robert H Jackson Us,NY0371ZZ-Robert H Jackson Us,NY,502678,615571,377523,1495773,3,140,231833
NE0036ZZ,Hruska Us Courthouse,NE0036ZZ-Hruska Us Courthouse,NE,544216,529594,419305,1493115,4,130,286610
NM0050ZZ,Pete Domenici Courth,NM0050ZZ-Pete Domenici Courth,NM,443195,419333,623737,1486265,4,216,257711
CA0273ZZ,Glenn M Anderson Fed,CA0273ZZ-Glenn M Anderson Fed,CA,432827,426064,625272,1484162,4,550,235346
MS0083ZZ,Dr. A. H. Mc Coy Fb,MS0083ZZ-Dr. A. H. Mc Coy Fb,MS,595246,305337,579699,1480281,4,600,370031
IL0311ZZ,Stanley J. Roszkowsk,IL0311ZZ-Stanley J. Roszkowsk,IL,653857,240008,585591,1479456,5,75,211414
TN0004ZZ,Howard Baker Jr Cths,TN0004ZZ-Howard Baker Jr Cths,TN,556029,472702,445319,1474050,5,275,310606
CA0260ZZ,Robert F. Peckham Fb,CA0260ZZ-Robert F. Peckham Fb,CA,448960,235776,782130,1466865,3,280,231455
TX0397ZZ,New Austin Courthous,TX0397ZZ-New Austin Courthous,TX,352870,444300,652931,1450102,4,130,189231
NM0030ZZ,D Chavez Federal Bld,NM0030ZZ-D Chavez Federal Bld,NM,539780,410282,498783,1448845,3,514,310862
AL0003AC,Frank Johnson Annex,AL0003AC-Frank Johnson Annex,AL,437721,593334,414623,1445678,4,180,262016
NY0304ZZ,Kenneth B Keating Fb,NY0304ZZ-Kenneth B Keating Fb,NY,379327,564719,479512,1423558,2,200,235373
OR0043ZZ,E.Green - W.Wyatt Fb,OR0043ZZ-E.Green - W.Wyatt Fb,OR,679467,297676,442078,1419222,3,412,372461
NC0113ZZ,Hiram H. Ward Fb & C,NC0113ZZ-Hiram H. Ward Fb & C,NC,648388,293543,473709,1415640,2,650,226363
WA0063ZZ,Fed Bldg Uspo & Ch,WA0063ZZ-Fed Bldg Uspo & Ch,WA,796295,248783,370383,1415461,4,500,343582
CO0627AA,Dfc Bldg 67,CO0627AA-Dfc Bldg 67,CO,604034,266597,544324,1414955,1,775,342722
TN0052AA,E Kefauver Fed Bldg,TN0052AA-E Kefauver Fed Bldg,TN,504369,524486,375475,1404330,4,1338,291971
KS0094ZZ,Robert J. Dole Us Ct,KS0094ZZ-Robert J. Dole Us Ct,KS,428378,489650,481667,1399695,4,245,238040
KY0045ZZ,Gene Snyder Usct-Cu,KY0045ZZ-Gene Snyder Usct-Cu,KY,710922,342659,327414,1380995,3,375,361991
SC0010ZZ,Matthew Perry Usct,SC0010ZZ-Matthew Perry Usct,SC,409772,510364,456015,1376151,1,52,182058
IL0032ZZ,Customhouse,IL0032ZZ-Customhouse,IL,492872,183654,687027,1363554,2,250,247309
VA0578ZZ,Spottswood W. Robins,VA0578ZZ-Spottswood W. Robins,VA,651439,327058,363471,1341967,5,223,220669
CO0009ZZ,Byron White Us Crths,CO0009ZZ-Byron White Us Crths,CO,320778,439556,540762,1301095,4,80,234998
NY0395CB,Cargo Building,NY0395CB-Cargo Building,NY,745011,362472,190397,1297879,4,90,80795
CO0511AA,Dfc Bldg 20,CO0511AA-Dfc Bldg 20,CO,381097,39390,861880,1282367,3,300,389299
PR0003ZZ,Jose V. Toledo Fb &,PR0003ZZ-Jose V. Toledo Fb &,PR,395905,325055,559948,1280908,5,65,93095
NY0323ZZ,Silvio V Mollo Fb,NY0323ZZ-Silvio V Mollo Fb,NY,617651,331583,329827,1279060,4,300,133800
MD0068ZZ,Ssa Metro West,MD0068ZZ-Ssa Metro West,MD,74938,465373,728967,1269278,2,1800,899892
MD0334ZZ,Harvey W. Wiley Fede,MD0334ZZ-Harvey W. Wiley Fede,MD,292204,930534,44421,1267160,3,600,388500
NC0002AE,Veach-Baley Federal,NC0002AE-Veach-Baley Federal,NC,373593,554446,337600,1265639,4,434,240520
PA0267ZZ,Ronald Reagan Federa,PA0267ZZ-Ronald Reagan Federa,PA,425023,562946,275579,1263548,5,320,218346
CA0200ZZ,Federal Building,CA0200ZZ-Federal Building,CA,423275,392230,443629,1259135,3,700,205378
VI0007ZZ,Ron De Lugo Fed Bldg,VI0007ZZ-Ron De Lugo Fed Bldg,VI,364874,463475,428879,1257229,4,87,73983
VA0095ZZ,Richard H Poff Fed B,VA0095ZZ-Richard H Poff Fed B,VA,408947,403776,420138,1232862,2,200,255700
CA0224ZZ,Hawthorne Federal Bu,CA0224ZZ-Hawthorne Federal Bu,CA,377264,352341,490023,1219628,2,250,205939
VA0088ZZ,Federal Office Build,VA0088ZZ-Federal Office Build,VA,521426,333212,353023,1207661,3,789,333461
OR0033PE,911 Federal Bldg,OR0033PE-911 Federal Bldg,OR,450767,263890,490779,1205437,4,377,247265
OK0072CT,Okc Federal Bldg/Cou,OK0072CT-Okc Federal Bldg/Cou,OK,534820,428937,227463,1191220,5,195,269459
MO0612AF,Federal Ctr Bg 105,MO0612AF-Federal Ctr Bg 105,MO,500759,297188,392320,1190268,2,528,372982
UT0032ZZ,Wallace F Bennett Fb,UT0032ZZ-Wallace F Bennett Fb,UT,398235,261557,523635,1183427,2,325,324786
MS0006AA,Dan M. Russell Jr U.,MS0006AA-Dan M. Russell Jr U.,MS,436970,436348,303956,1177274,5,80,161929
AZ0052ZZ,Federal Building & C,AZ0052ZZ-Federal Building & C,AZ,365707,321008,470004,1156718,3,300,288634
FL0082ZZ,George C. Young Fed.,FL0082ZZ-George C. Young Fed.,FL,451380,227097,470376,1148853,3,150,175999
NJ0056ZZ,Fed. Bldg. 20 Washin,NJ0056ZZ-Fed. Bldg. 20 Washin,NJ,238082,330722,579088,1147893,4,250,137739
DC0313ZZ,Judiciary Square,DC0313ZZ-Judiciary Square,DC,316776,197390,633053,1147220,4,300,102000
TX0297ZZ,Alliance Tower,TX0297ZZ-Alliance Tower,TX,348599,234901,562827,1146328,4,505,226938
CA0083ZZ,Federal Building,CA0083ZZ-Federal Building,CA,257319,109905,728978,1096203,3,152,160549
LA0034ZZ,Fe Hebert Federal Bl,LA0034ZZ-Fe Hebert Federal Bl,LA,328109,356048,404305,1088462,5,400,209266
CA9551RR,Richard H Chambers C,CA9551RR-Richard H Chambers C,CA,644096,153490,290397,1087983,4,140,146682
TX0302ZZ,The Centre Phase 5,TX0302ZZ-The Centre Phase 5,TX,332988,261787,492693,1087468,4,300,321884
LA0099ZZ,Jm Shaw Courthouse,LA0099ZZ-Jm Shaw Courthouse,LA,367380,203039,516232,1086651,4,150,178528
LA0033ZZ,New Orleans Custom H,LA0033ZZ-New Orleans Custom H,LA,352211,209461,507235,1068907,3,71,296483
MO0551AG,Frc Bldg 100,MO0551AG-Frc Bldg 100,MO,59728,467116,534685,1061529,2,25,1015363
NV0294ZZ,Bruce R. Thompson Co,NV0294ZZ-Bruce R. Thompson Co,NV,362158,236403,438495,1037057,5,85,171312
NH0038ZZ,Warren B. Rudman Us,NH0038ZZ-Warren B. Rudman Us,NH,263821,490685,279399,1033906,4,150,102260
TX0292ZZ,Am Smith Federal Bld,TX0292ZZ-Am Smith Federal Bld,TX,389576,195650,446938,1032164,4,250,189738
WA0036ZZ,Fed Office Bldg,WA0036ZZ-Fed Office Bldg,WA,487922,234143,309270,1031335,4,338,236628
