Building_Number,Building_Name,Building,State,A10_Cleaning,A30_Utilities_Fuel,A40_Mechanic_Oper_Maint,Grand_Total,Overall_Satisfaction,Occupancy,Building_Sq_Ft
OH0046ZZ,Kinneary Us Cthse,OH0046ZZ-Kinneary Us Cthse,OH,393632,219443,298961,912036,4,165,214440
CO0054ZZ,Cesar E. Chavez Memo,CO0054ZZ-Cesar E. Chavez Memo,CO,325845,252638,331934,910417,4,391,188807
NV0013ZZ,Foley Fob & Courthou,NV0013ZZ-Foley Fob & Courthou,NV,346160,173938,388165,908263,3,109,196077
OH0208CL,Bricker Federal Bldg,OH0208CL-Bricker Federal Bldg,OH,368970,280909,254344,904223,3,350,228555
WA0064ZZ,Thomas S. Foley Us C,WA0064ZZ-Thomas S. Foley Us C,WA,453007,193411,251576,897994,4,260,235792
OK0046CT,Okc Post Office/Cour,OK0046CT-Okc Post Office/Cour,OK,383484,316454,195620,895557,1,253,199632
GA0008ZZ,Elbert P. Tuttle Us,GA0008ZZ-Elbert P. Tuttle Us,GA,268185,251777,363862,883824,4,45,173676
TX0057ZZ,Terminal Annex Feder,TX0057ZZ-Terminal Annex Feder,TX,248897,123132,511787,883817,2,100,222057
MO0134ZZ,8930 Ward Pky Federa,MO0134ZZ-8930 Ward Pky Federa,MO,463928,190699,210979,865607,4,352,193055
AL0011ZZ,Robert S. Vance Fb-C,AL0011ZZ-Robert S. Vance Fb-C,AL,332597,94407,437058,864062,5,40,157252
WY0029ZZ,Joseph C O'Mahoney F,WY0029ZZ-Joseph C O'Mahoney F,WY,305099,291562,264095,860757,4,140,207777
AR0085RK,Little Rock Uspo/Cth,AR0085RK-Little Rock Uspo/Cth,AR,288299,199612,372290,860201,4,50,153323
WV0226ZZ,244 Needy Road,WV0226ZZ-244 Needy Road,WV,334331,229669,289126,853126,3,450,151187
AR0030RK,Little Rock Uspo/Cou,AR0030RK-Little Rock Uspo/Cou,AR,301595,19185,525582,846362,1,80,251194
CO0006ZZ,Fb-Cu,CO0006ZZ-Fb-Cu,CO,386228,245892,212991,845111,4,317,247309
LA0035ZZ,Jm Wisdom Courthouse,LA0035ZZ-Jm Wisdom Courthouse,LA,288173,241674,314686,844533,5,40,180096
TX0501HS,San Antonio Federal,TX0501HS-San Antonio Federal,TX,227047,345800,255266,828113,2,250,163060
ME0061ZZ,M.C. Smith Fb Poch,ME0061ZZ-M.C. Smith Fb Poch,ME,264386,348516,212093,824995,5,101,127173
OH0195ZZ,Fed Bldg & Us Cthse,OH0195ZZ-Fed Bldg & Us Cthse,OH,366792,194948,259264,821005,2,234,151686
UT0017ZZ,Frank E Moss Courtho,UT0017ZZ-Frank E Moss Courtho,UT,202633,158567,451555,812755,3,58,234293
FL0004ZZ,Us Crthse Annex,FL0004ZZ-Us Crthse Annex,FL,250890,263680,295405,809975,5,96,143710
DE0016ZZ,J. Caleb Boggs Ch Fb,DE0016ZZ-J. Caleb Boggs Ch Fb,DE,392826,215926,198115,806867,5,125,180104
CT0061ZZ,Robert N Giaimo Fb,CT0061ZZ-Robert N Giaimo Fb,CT,201675,301088,299472,802236,4,160,129553
WV0171ZZ,Robert C. Byrd Fb &,WV0171ZZ-Robert C. Byrd Fb &,WV,249938,274153,273091,797183,5,250,160415
TX0164ZZ,Hipolito F. Garcia F,TX0164ZZ-Hipolito F. Garcia F,TX,291844,146135,356780,794760,5,63,219061
VT0024ZZ,Federal Bldg Uspo Ct,VT0024ZZ-Federal Bldg Uspo Ct,VT,341758,195018,256630,793406,4,155,134396
NJ5003ZZ,Mitchell H Cohen Us,NJ5003ZZ-Mitchell H Cohen Us,NJ,323609,254564,211344,789517,3,70,147258
OR0023ZZ,Gus J. Solomon Cthse,OR0023ZZ-Gus J. Solomon Cthse,OR,274726,176145,333677,784548,3,242,162010
TX0250AU,Homer Thornberry Bld,TX0250AU-Homer Thornberry Bld,TX,238501,322084,223920,784505,4,120,179418
VA0054ZZ,Walter E Hoffman Us,VA0054ZZ-Walter E Hoffman Us,VA,324688,219655,232574,776916,2,179,199980
KS0070ZZ,U S Court House,KS0070ZZ-U S Court House,KS,271451,192953,310107,774511,4,107,147110
MA0011ZZ,Cpt Jf Williams Cg B,MA0011ZZ-Cpt Jf Williams Cg B,MA,226798,267449,279860,774106,4,216,93300
TX0313ZZ,Corpus Christi Court,TX0313ZZ-Corpus Christi Court,TX,210385,270054,292592,773031,5,130,145290
VA1608ZZ,Federal Building,VA1608ZZ-Federal Building,VA,291783,218253,262661,772697,5,364,167053
ND0046ZZ,Fb-Po,ND0046ZZ-Fb-Po,ND,393987,148125,226651,768762,4,75,270884
FL0009ZZ,Ft. Myers Fed. Bldg.,FL0009ZZ-Ft. Myers Fed. Bldg.,FL,235573,250642,275388,761602,4,71,145505
CT0059ZZ,Brien Mcmahon Usch&F,CT0059ZZ-Brien Mcmahon Usch&F,CT,234148,213997,298791,746935,3,115,116391
FL0066AC,Paul G Rogers Fb-Ct,FL0066AC-Paul G Rogers Fb-Ct,FL,194923,342041,206634,743597,1,62,73248
TX0808FW,Fed Ctr Bldg 23 Offi,TX0808FW-Fed Ctr Bldg 23 Offi,TX,261517,222252,257475,741245,2,169,105193
IL0173ZZ,Paul Findley Buildin,IL0173ZZ-Paul Findley Buildin,IL,295161,156521,287414,739096,3,65,127123
WA0120BN,Pac Highway Auto Bus,WA0120BN-Pac Highway Auto Bus,WA,292540,282539,162911,737990,1,53,30418
MA0051ZZ,Springfield Federal,MA0051ZZ-Springfield Federal,MA,243519,235781,254212,733512,4,70,127005
MO0147ZZ,Rush Hudson Limbaugh,MO0147ZZ-Rush Hudson Limbaugh,MO,295463,158436,278720,732619,4,60,138548
IL2125ZZ,11 W Quincy Court,IL2125ZZ-11 W Quincy Court,IL,216796,93775,420191,730762,5,157,100553
AL0076AB,Federal Building,AL0076AB-Federal Building,AL,373075,119975,233898,726948,4,620,196575
CT0013ZZ,William R. Cotter Fb,CT0013ZZ-William R. Cotter Fb,CT,258781,238210,219269,716260,4,152,157931
MN0015ZZ,G W Heaney F.B. & Us,MN0015ZZ-G W Heaney F.B. & Us,MN,208049,173075,321492,702616,4,66,125885
CA0903OO,Usgs Bldg 3,CA0903OO-Usgs Bldg 3,CA,185889,216343,290526,692759,4,25,89558
MO0531AD,Fed Bldg No 2,MO0531AD-Fed Bldg No 2,MO,341675,192330,157901,691906,3,615,260524
SD0040ZZ,Fb,SD0040ZZ-Fb,SD,259276,154054,278456,691786,3,320,210466
MT0017ZZ,Fb-Po-Ct,MT0017ZZ-Fb-Po-Ct,MT,466298,99374,125649,691321,2,150,129921
TX0227AU,Jj Pickle Federal Bl,TX0227AU-Jj Pickle Federal Bl,TX,298134,81024,310136,689294,4,200,214795
NY0002ZZ,James T. Foley Uspo,NY0002ZZ-James T. Foley Uspo,NY,296796,205529,186763,689088,2,124,198339
NJ0088ZZ,Clarkson S Fisher Fb,NJ0088ZZ-Clarkson S Fisher Fb,NJ,304740,190024,193036,687800,4,99,163375
NJ5002ZZ,Clarkson S Fisher Us,NJ5002ZZ-Clarkson S Fisher Us,NJ,279701,203927,199258,682886,3,135,123370
UT0035ZZ,James V Hansen Feder,UT0035ZZ-James V Hansen Feder,UT,228747,170536,280913,680196,4,235,206345
NH0030ZZ,James C. Cleveland F,NH0030ZZ-James C. Cleveland F,NH,168471,345701,153477,667648,4,100,109602
AL0010ZZ,Federal Building-Cou,AL0010ZZ-Federal Building-Cou,AL,251664,209981,204174,665819,5,100,102168
RI0009ZZ,Federal Bldg Usct,RI0009ZZ-Federal Bldg Usct,RI,213206,221636,220981,655822,5,50,123094
NY0300ZZ,Leo W Obrien Fb,NY0300ZZ-Leo W Obrien Fb,NY,318321,116544,215564,650428,4,313,197851
CA0221ZZ,John F Shea Fed Bldg,CA0221ZZ-John F Shea Fed Bldg,CA,183826,127770,336177,647773,4,70,70541
TN0076ZZ,John J. Duncan Fb,TN0076ZZ-John J. Duncan Fb,TN,248847,145968,252105,646920,5,518,120171
DC0078ZZ,1724 F Street Nw,DC0078ZZ-1724 F Street Nw,DC,110839,188098,345142,644079,4,80,4689
VA0087ZZ,Federal Building,VA0087ZZ-Federal Building,VA,260017,232667,143497,636181,4,437,132929
CT0024ZZ,New Haven Courthouse,CT0024ZZ-New Haven Courthouse,CT,202817,158753,269685,631255,4,75,116756
TX0502HS,J Wood Courthouse,TX0502HS-J Wood Courthouse,TX,160324,211313,259168,630805,1,75,114990
AL0039AB,John A Campbell Usct,AL0039AB-John A Campbell Usct,AL,231608,168724,229272,629604,1,88,103526
WA0831KF,Building 7,WA0831KF-Building 7,WA,404833,7831,211451,624116,4,523,201065
GA0078ZZ,Tomochichi Fb-Ch,GA0078ZZ-Tomochichi Fb-Ch,GA,254728,167866,200629,623222,4,50,110742
MA0113ZZ,Harold D. Donohue Fe,MA0113ZZ-Harold D. Donohue Fe,MA,217691,188447,215209,621348,5,54,96724
GA0030ZZ,John C. Godbold Fede,GA0030ZZ-John C. Godbold Fede,GA,165436,238132,216288,619856,4,130,110482
IL0235FC,Uspo Loop Station,IL0235FC-Uspo Loop Station,IL,122198,417660,62651,602509,3,5,136173
NJ0145ZZ,Robert A. Roe Fb,NJ0145ZZ-Robert A. Roe Fb,NJ,146592,156928,289657,593177,4,176,53663
IA0119ZZ,Fed Bldg Uspo,IA0119ZZ-Fed Bldg Uspo,IA,273246,52885,264598,590729,2,70,74521
TN0012ZZ,James H. Quillen Usc,TN0012ZZ-James H. Quillen Usc,TN,245689,159278,180088,585056,5,75,136103
MO0022ZZ,Christopher Bond Cth,MO0022ZZ-Christopher Bond Cth,MO,264335,85215,231576,581125,5,54,6750
CA0092AA,Us Custom House,CA0092AA-Us Custom House,CA,270280,5513,301503,577296,2,100,120308
NH0037ZZ,Norris Cotton Fb,NH0037ZZ-Norris Cotton Fb,NH,208377,143157,220568,572103,5,167,104022
TX0316ZZ,Brownsville Fed Bldg,TX0316ZZ-Brownsville Fed Bldg,TX,233413,217348,120775,571535,4,193,173302
TX0311ZZ,Laredo Federal Bldg/,TX0311ZZ-Laredo Federal Bldg/,TX,191394,149876,230104,571373,2,169,125578
SC0058ZZ,J.L. Mcmillan Fb-Ct,SC0058ZZ-J.L. Mcmillan Fb-Ct,SC,240098,143259,187465,570823,3,90,99989
WV0030ZZ,Federal Office Build,WV0030ZZ-Federal Office Build,WV,191778,153816,223872,569466,4,86,138154
WY0030ZZ,Dick Cheney Fb,WY0030ZZ-Dick Cheney Fb,WY,256893,105835,205328,568056,5,135,120114
SD0038ZZ,Fb,SD0038ZZ-Fb,SD,243259,86809,236879,566947,2,205,80926
TX0272ZZ,Rc White Federal Bld,TX0272ZZ-Rc White Federal Bld,TX,175407,199031,189315,563753,4,150,167719
AK0001ZZ,Anchorage Fed Build,AK0001ZZ-Anchorage Fed Build,AK,264457,130570,157769,552796,3,97,91360
VA0063ZZ,Lewis F Powell Jr Us,VA0063ZZ-Lewis F Powell Jr Us,VA,175041,174267,195707,545015,5,10,175961
MA0129ZZ,Philip J Philbin Fob,MA0129ZZ-Philip J Philbin Fob,MA,185919,193559,164986,544465,5,80,76613
GA0118ZZ,Fb-Po-Ct,GA0118ZZ-Fb-Po-Ct,GA,242052,129577,170240,541869,2,40,91134
IA0030ZZ,U S Courthouse,IA0030ZZ-U S Courthouse,IA,208316,87516,245593,541425,4,85,73142
AR0078ZZ,Pine Bluff Fob/Uspo/,AR0078ZZ-Pine Bluff Fob/Uspo/,AR,158818,117829,261035,537681,5,30,101408
RI0010ZZ,J O Pastore Fb Uspo,RI0010ZZ-J O Pastore Fb Uspo,RI,181398,149094,206389,536881,4,50,110060
WA0118ZZ,Fda Bldg,WA0118ZZ-Fda Bldg,WA,182759,240780,103231,526769,1,64,57796
NH0036ZZ,Thomas J Mcintyre Fb,NH0036ZZ-Thomas J Mcintyre Fb,NH,148132,218426,154044,520601,5,144,86056
TX0075ZZ,Eldon B. Mahon Us Co,TX0075ZZ-Eldon B. Mahon Us Co,TX,181223,116457,221091,518771,3,95,119275
OR0051ZZ,Eugene Federal Build,OR0051ZZ-Eugene Federal Build,OR,193891,117214,202455,513560,4,154,98511
KY0013ZZ,Covington U.S. Crths,KY0013ZZ-Covington U.S. Crths,KY,194163,119006,190948,504117,3,45,100973
NV0012ZZ,C. Clifton Young Fob,NV0012ZZ-C. Clifton Young Fob,NV,190409,76637,234113,501160,2,73,116849
IL0154ZZ,Fed Bldg & Us Cthse,IL0154ZZ-Fed Bldg & Us Cthse,IL,182529,76073,235665,494268,5,92,108125
FL0064AE,R L Timberlake Jr Fb,FL0064AE-R L Timberlake Jr Fb,FL,178289,156447,159530,494266,4,204,99076
TX0101ZZ,Houston Customs Hous,TX0101ZZ-Houston Customs Hous,TX,205949,50168,237936,494053,3,91,136161
ND0006ZZ,Fb-Ct,ND0006ZZ-Fb-Ct,ND,129046,262876,100944,492866,3,45,92610
MS0079ZZ,United States Courth,MS0079ZZ-United States Courth,MS,146756,149591,192285,488632,4,76,68200
MO0618AF,Federal Ctr Bg 110,MO0618AF-Federal Ctr Bg 110,MO,136794,121023,225707,483525,4,197,139938
WA0059ZZ,Fed Arch & Rec Ctr,WA0059ZZ-Fed Arch & Rec Ctr,WA,145802,100707,236406,482915,2,30,183908
IA0027ZZ,United States Courth,IA0027ZZ-United States Courth,IA,184522,64254,228327,477104,5,57,68391
WA0811KA,Administration Bldg,WA0811KA-Administration Bldg,WA,268324,103683,103534,475541,3,370,100748
SD0021ZZ,U.S. Courthouse,SD0021ZZ-U.S. Courthouse,SD,169391,79434,224481,473306,5,66,64413
MI0118ZZ,Federal Bldg,MI0118ZZ-Federal Bldg,MI,159793,107568,203244,470605,2,75,71004
FL0057ZZ,Golden-Collum Fb-Ct,FL0057ZZ-Golden-Collum Fb-Ct,FL,131037,126798,211445,469280,4,38,57374
GA0138ZZ,"R.G. Stephens,Jr Fb","GA0138ZZ-R.G. Stephens,Jr Fb",GA,189714,105799,172893,468405,1,186,80088
IN0031ZZ,E. Ross Adair Federa,IN0031ZZ-E. Ross Adair Federa,IN,213756,91235,162342,467333,4,77,100542
NM0038ZZ,Gallup Federal Bldg,NM0038ZZ-Gallup Federal Bldg,NM,126759,127120,208935,462813,1,115,68763
CO0046ZZ,Fb-Po,CO0046ZZ-Fb-Po,CO,160816,57371,243448,461635,4,60,76658
KY0042ZZ,Po-Ct,KY0042ZZ-Po-Ct,KY,192467,125721,138114,456302,2,72,84161
MN0036ZZ,Federal Building,MN0036ZZ-Federal Building,MN,176637,112480,167182,456299,4,25,143197
OH0143ZZ,James M. Ashley And,OH0143ZZ-James M. Ashley And,OH,178900,115080,156616,450595,1,65,80844
TX0220MD,G Mahon Post Office/,TX0220MD-G Mahon Post Office/,TX,166943,76660,206543,450145,4,70,91511
IA0087ZZ,Fed Bldg & Us Cthse,IA0087ZZ-Fed Bldg & Us Cthse,IA,144567,82396,223140,450104,5,80,98610
IN0096ZZ,Robert Grant Federal,IN0096ZZ-Robert Grant Federal,IN,174991,93999,177880,446869,2,94,90786
SC0018ZZ,J. Bratton Davis Us,SC0018ZZ-J. Bratton Davis Us,SC,118929,124572,199229,442731,4,41,47427
OK0041ZZ,Ed Edmondson U.S. Co,OK0041ZZ-Ed Edmondson U.S. Co,OK,134992,96221,201910,433123,4,63,121342
GA0057ZZ,William Augustus Boo,GA0057ZZ-William Augustus Boo,GA,135779,131756,164102,431637,1,60,77311
CA0505BB,Bs Main Bldg,CA0505BB-Bs Main Bldg,CA,45110,144881,235779,425770,5,50,90848
CO0527AA,Dfc Bldg 50,CO0527AA-Dfc Bldg 50,CO,143680,83040,196795,423516,1,200,124043
TX0069ZZ,El Paso Courthouse,TX0069ZZ-El Paso Courthouse,TX,121511,150659,146058,418227,4,115,107822
SD0034ZZ,Fb-Po-Ct,SD0034ZZ-Fb-Po-Ct,SD,164694,60736,189952,415382,4,80,94624
MS0082ZZ,T. G. Abernethy Fb,MS0082ZZ-T. G. Abernethy Fb,MS,110219,115483,186463,412165,3,30,58889
MI0502BC,Fed Ctr Bldg No 1a,MI0502BC-Fed Ctr Bldg No 1a,MI,234732,59181,114720,408633,4,150,104189
VT0018ZZ,Federal Bldg Uspo&Cu,VT0018ZZ-Federal Bldg Uspo&Cu,VT,117698,102818,185565,406081,3,55,61331
LA0006BT,Baton Rouge Fed Bldg,LA0006BT-Baton Rouge Fed Bldg,LA,103944,98135,201951,404031,4,35,54419
NC0005AE,Fb-Ct,NC0005AE-Fb-Ct,NC,161668,72000,168013,401681,4,130,93883
NC0058ZZ,Fb-Po Cent.Station,NC0058ZZ-Fb-Po Cent.Station,NC,113964,70977,216210,401151,4,36,78375
PA0588ZZ,Edward N Cahn Fb-Us,PA0588ZZ-Edward N Cahn Fb-Us,PA,170547,120788,109135,400469,4,76,76594
GA0012ZZ,C.B. King Usct,GA0012ZZ-C.B. King Usct,GA,125358,110673,163106,399137,4,77,62045
SD0035ZZ,Andrew W. Bogue Fb/C,SD0035ZZ-Andrew W. Bogue Fb/C,SD,134384,96318,167015,397717,5,85,67292
NM0502ZZ,Albuquerque Courthou,NM0502ZZ-Albuquerque Courthou,NM,108528,97284,189069,394881,5,56,65077
TX0701HO,Labranch Federal Bld,TX0701HO-Labranch Federal Bld,TX,112915,87758,192888,393561,2,106,75673
SC0028ZZ,C.F.Haynsworth Fbct,SC0028ZZ-C.F.Haynsworth Fbct,SC,153276,100463,138281,392020,5,34,64699
AR0021ZZ,Ic Parker Courthouse,AR0021ZZ-Ic Parker Courthouse,AR,130730,72991,186471,390192,4,66,85784
FL0039ZZ,Winston E. Arnow Us,FL0039ZZ-Winston E. Arnow Us,FL,134378,121796,133859,390033,4,18,59872
NY0218ZZ,Alexander Pirnie Fb,NY0218ZZ-Alexander Pirnie Fb,NY,154295,83795,150992,389083,2,85,87767
WI0350ZZ,R.W. Kastenmeier Us,WI0350ZZ-R.W. Kastenmeier Us,WI,161363,100314,123070,384747,3,76,68498
MT0004ZZ,Mike Mansfield Fb /,MT0004ZZ-Mike Mansfield Fb /,MT,116948,55968,209961,382876,2,20,73336
NY0016ZZ,Fed Bldg & Cthse-Bin,NY0016ZZ-Fed Bldg & Cthse-Bin,NY,150135,91119,138807,380061,5,75,75074
PA0235ZZ,Herman T. Schneebeli,PA0235ZZ-Herman T. Schneebeli,PA,145615,129578,102837,378030,4,56,74775
MI0601DI,Rosa Parks Federal B,MI0601DI-Rosa Parks Federal B,MI,89889,62314,222976,375179,4,80,40473
WA0045ZZ,Fed Bldg U S Post Of,WA0045ZZ-Fed Bldg U S Post Of,WA,195025,62925,112257,370207,4,121,107921
TN0096ZZ,Fb-Po-Ct,TN0096ZZ-Fb-Po-Ct,TN,120213,26308,221821,368343,4,20,37112
AZ0015ZZ,James A. Walsh Court,AZ0015ZZ-James A. Walsh Court,AZ,130399,78230,158803,367432,3,22,69045
WA0082ZZ,Fed Bldg And Uspo,WA0082ZZ-Fed Bldg And Uspo,WA,195963,38470,132300,366734,3,50,79085
NV0014ZZ,Federal Building,NV0014ZZ-Federal Building,NV,152506,45633,165614,363752,4,92,47249
CO0576AA,Dfc Bldg 85,CO0576AA-Dfc Bldg 85,CO,146991,68059,146456,361506,2,300,85672
NE0056ZZ,Federal Bg Uspo Cths,NE0056ZZ-Federal Bg Uspo Cths,NE,164462,52263,142269,358994,4,49,71507
VT0026ZZ,Federal Bldg Uspo&Ct,VT0026ZZ-Federal Bldg Uspo&Ct,VT,95991,153118,108858,357966,4,77,65271
FL0019ZZ,Sidney M. Aronovitz,FL0019ZZ-Sidney M. Aronovitz,FL,69850,111689,167369,348909,2,38,52248
ND0047ZZ,Quentin N. Burdick C,ND0047ZZ-Quentin N. Burdick C,ND,151187,55241,142114,348542,4,30,95576
TN0029ZZ,Ed Jones Fb-Ct,TN0029ZZ-Ed Jones Fb-Ct,TN,116082,74793,156302,347177,2,48,59500
LA0070ZZ,Ellender Fed Bldg/Po,LA0070ZZ-Ellender Fed Bldg/Po,LA,133362,35364,176063,344789,2,75,62551
NJ0015ZZ,U.S. Post Office & C,NJ0015ZZ-U.S. Post Office & C,NJ,209338,17797,117380,344516,5,78,87861
OR0024ZZ,The Pioneer Cthse,OR0024ZZ-The Pioneer Cthse,OR,124020,54021,166244,344285,3,20,43333
MN0076ZZ,Federal Building,MN0076ZZ-Federal Building,MN,122267,75026,144840,342133,5,85,41846
MI0048ZZ,Federal Bldg,MI0048ZZ-Federal Bldg,MI,128853,103807,104099,336759,4,50,62777
CA0902OO,Gsa Bldg 2,CA0902OO-Gsa Bldg 2,CA,90962,101568,143043,335573,2,30,44117
SC0012AC,Po-Ct,SC0012AC-Po-Ct,SC,106293,160603,68073,334969,3,25,42025
HI0001ZZ,Federal Building & U,HI0001ZZ-Federal Building & U,HI,107569,56010,167331,330910,4,30,35134
MS0072ZZ,Wm M. Colmer Fb-Ct,MS0072ZZ-Wm M. Colmer Fb-Ct,MS,90445,106299,130902,327646,4,51,59363
NC0085ZZ,Alton Lennon Fb-Ct,NC0085ZZ-Alton Lennon Fb-Ct,NC,119526,84244,122610,326379,4,53,56972
AR0062ZZ,Hot Springs Post Off,AR0062ZZ-Hot Springs Post Off,AR,104027,57188,160741,321956,1,66,62383
VA0062ZZ,Lewis F Powell Jr Us,VA0062ZZ-Lewis F Powell Jr Us,VA,128543,79357,112848,320748,2,80,92570
KY0089ZZ,Carl D Perkins Fbct,KY0089ZZ-Carl D Perkins Fbct,KY,161284,76839,81541,319664,4,75,57852
MI0097ZZ,Federal Bldg & Us Co,MI0097ZZ-Federal Bldg & Us Co,MI,101004,29636,186594,317234,4,25,43501
SC0041ZZ,Donald Stuart Russel,SC0041ZZ-Donald Stuart Russel,SC,101767,71994,141038,314799,3,17,49568
IL0302ZZ,U.S. Courthouse,IL0302ZZ-U.S. Courthouse,IL,151160,65087,97455,313702,4,50,46135
AR0057ZZ,Texarkana Uspo/Court,AR0057ZZ-Texarkana Uspo/Court,AR,102405,71407,139126,312938,4,70,86190
MO0602AF,Federal Ctr Bg 107,MO0602AF-Federal Ctr Bg 107,MO,38899,23817,244226,306941,4,20,28193
TX0262TY,Tyler Federal Bldg/C,TX0262TY-Tyler Federal Bldg/C,TX,89077,63477,154295,306849,1,65,48156
TX0006ZZ,Jm Jones Federal Bld,TX0006ZZ-Jm Jones Federal Bld,TX,94853,82381,129546,306780,5,42,62619
AK0005AK,Federal,AK0005AK-Federal,AK,96703,76128,131215,304047,3,70,36611
GA0044ZZ,Fb-Ct,GA0044ZZ-Fb-Ct,GA,118390,76352,108916,303658,4,50,48113
IL0301ES,Melvin Price Fed. Bl,IL0301ES-Melvin Price Fed. Bl,IL,149777,51177,98854,299807,5,60,63188
AR0079ZZ,Batesville Fob/Uspo/,AR0079ZZ-Batesville Fob/Uspo/,AR,76080,66448,156219,298746,2,25,47899
FL0049ZZ,U. S. Courthouse,FL0049ZZ-U. S. Courthouse,FL,94770,140969,59050,294788,4,30,40296
AR0066ZZ,Helena Post Office/C,AR0066ZZ-Helena Post Office/C,AR,57558,48983,184876,291417,3,22,34293
CA0149ZZ,Federal Building,CA0149ZZ-Federal Building,CA,153113,49469,87196,289778,5,50,45771
KY0088ZZ,J. C. Watts Fb,KY0088ZZ-J. C. Watts Fb,KY,84655,66028,125226,275909,4,65,54642
GA0103ZZ,Frank M Scarlett Fb,GA0103ZZ-Frank M Scarlett Fb,GA,102919,61444,111024,275387,5,40,57632
WV1251ZZ,Jennings Randolph Fe,WV1251ZZ-Jennings Randolph Fe,WV,116718,76071,82433,275221,4,45,53416
AL0034ZZ,Po-Ct,AL0034ZZ-Po-Ct,AL,90721,71189,111702,273612,2,40,37248
IL0069ES,Melvin Price Federal,IL0069ES-Melvin Price Federal,IL,133719,53348,86365,273431,5,35,56132
WV0047ZZ,Fb & Us Courthouse,WV0047ZZ-Fb & Us Courthouse,WV,113662,65959,93324,272945,5,31,64824
AZ0554BB,Bs Hd Hse Bldg 2,AZ0554BB-Bs Hd Hse Bldg 2,AZ,91948,71832,108234,272013,1,89,44757
KY0059ZZ,Fb-Ct,KY0059ZZ-Fb-Ct,KY,81730,78248,111906,271883,5,25,48028
WV0016FP,Sidney L Christie Fb,WV0016FP-Sidney L Christie Fb,WV,109495,2850,158993,271337,4,62,84000
NM0015SN,Campos Federal Court,NM0015SN-Campos Federal Court,NM,76413,82193,107889,266495,4,27,42056
WV0053ZZ,U.S. Courthouse,WV0053ZZ-U.S. Courthouse,WV,92640,71202,98887,262729,4,55,64462
NM0042ZZ,Runnels Federal Bldg,NM0042ZZ-Runnels Federal Bldg,NM,80157,82718,97031,259906,4,48,57547
OH0302ZZ,Nathaniel R Jones Fb,OH0302ZZ-Nathaniel R Jones Fb,OH,124508,64276,70758,259541,4,49,44476
PA0600ZZ,New Construction Ann,PA0600ZZ-New Construction Ann,PA,81674,79144,97139,257958,4,13,53450
MA0158ZZ,Hastings Keith Fb,MA0158ZZ-Hastings Keith Fb,MA,73130,107317,74006,254453,4,35,32428
TX0182TY,Tyler Post Office/Co,TX0182TY-Tyler Post Office/Co,TX,86177,50648,116758,253582,5,12,46431
MA0180ZZ,Silvio O. Conte Fb,MA0180ZZ-Silvio O. Conte Fb,MA,78985,58679,115818,253481,3,30,26873
SC0011ZZ,U.S. Customhouse,SC0011ZZ-U.S. Customhouse,SC,107747,91775,53734,253256,2,45,36229
MI0539BC,Child Care Facility,MI0539BC-Child Care Facility,MI,163023,36800,45891,245714,4,32,16795
WA0824KF,Warehouse 1,WA0824KF-Warehouse 1,WA,22037,146902,76513,245452,5,100,170932
WA0053ZZ,Wm O Douglas Fbusct,WA0053ZZ-Wm O Douglas Fbusct,WA,117430,48479,79093,245002,4,30,52984
NM0035ZZ,Roswell Federal Buil,NM0035ZZ-Roswell Federal Buil,NM,87583,53912,102589,244083,4,42,56173
CO0018ZZ,Wayne Aspinall Fbct,CO0018ZZ-Wayne Aspinall Fbct,CO,75218,23157,142409,240784,4,40,36907
WV0050ZZ,Fb & Garage,WV0050ZZ-Fb & Garage,WV,77482,48739,110960,237181,2,75,40132
DC1415NA,Office Building,DC1415NA-Office Building,DC,9666,177899,35139,222704,2,800,12837
IN0057ZZ,Charles A Halleck Fe,IN0057ZZ-Charles A Halleck Fe,IN,76632,48460,97472,222563,4,11,45197
VA0686ZZ,U. S. Courthouse,VA0686ZZ-U. S. Courthouse,VA,119847,66196,36478,222521,4,17,51959
ND0014ZZ,Judge Bruce M. Van S,ND0014ZZ-Judge Bruce M. Van S,ND,56968,47646,114884,219498,4,25,39256
WY0003ZZ,Ewing T. Kerr Fb-Ct,WY0003ZZ-Ewing T. Kerr Fb-Ct,WY,104759,46055,66831,217644,5,35,57605
AZ0555BB,Bs Bldg 1,AZ0555BB-Bs Bldg 1,AZ,71385,55678,83994,211057,1,30,34483
OR0045ZZ,David J. Wheeler Fb,OR0045ZZ-David J. Wheeler Fb,OR,102540,30268,75354,208161,5,46,44694
MN0084ZZ,Social Security Adm,MN0084ZZ-Social Security Adm,MN,98567,52020,55605,206192,5,60,22035
UT0010ZZ,Forest Service Bldg,UT0010ZZ-Forest Service Bldg,UT,82616,52286,69076,203978,2,25,46680
ND0008ZZ,Ronald N. Davies Fed,ND0008ZZ-Ronald N. Davies Fed,ND,43395,62341,97687,203423,4,20,40173
LA0029ZZ,Monroe Federal Bldg/,LA0029ZZ-Monroe Federal Bldg/,LA,60222,44766,97584,202572,3,25,40939
OH0215ZZ,Thomas D Lambros Fob,OH0215ZZ-Thomas D Lambros Fob,OH,87795,56678,53748,198220,4,37,33290
CA0773KK,Fed Cntr Bldg 2d,CA0773KK-Fed Cntr Bldg 2d,CA,67864,41925,85653,195442,4,10,22654
