Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
PA0267ZZ,Ronald Reagan Federa,PA0267ZZ-Ronald Reagan Federa,PA,425022.88,562946.41,275579.00,1263548.29,5,320,218346,17108-9901,17108
CA0200ZZ,Federal Building,CA0200ZZ-Federal Building,CA,423275.45,392230.46,443628.70,1259134.61,3,700,205378,92701-4025,92701
VI0007ZZ,Ron De Lugo Fed Bldg,VI0007ZZ-Ron De Lugo Fed Bldg,VI,364874.46,463475.25,428879.22,1257228.93,4,87,73983,00802-6424,00802
VA0095ZZ,Richard H Poff Fed B,VA0095ZZ-Richard H Poff Fed B,VA,408947.46,403776.47,420137.98,1232861.91,2,200,255700,24011-2204,24011
CA0224ZZ,Hawthorne Federal Bu,CA0224ZZ-Hawthorne Federal Bu,CA,377263.68,352340.80,490023.25,1219627.73,2,250,205939,90250-0000,90250
VA0088ZZ,Federal Office Build,VA0088ZZ-Federal Office Build,VA,521426.03,333212.28,353022.85,1207661.16,3,789,333461,23219-4817,23219
OR0033PE,911 Federal Bldg,OR0033PE-911 Federal Bldg,OR,450767.18,263890.14,490779.22,1205436.54,4,377,247265,97232-4128,97232
OK0072CT,Okc Federal Bldg/Cou,OK0072CT-Okc Federal Bldg/Cou,OK,534819.84,428937.40,227462.90,1191220.14,5,195,269459,73102-3026,73102
MO0612AF,Federal Ctr Bg 105,MO0612AF-Federal Ctr Bg 105,MO,500759.47,297188.27,392320.00,1190267.74,2,528,372982,63120-1703,63120
UT0032ZZ,Wallace F Bennett Fb,UT0032ZZ-Wallace F Bennett Fb,UT,398235.27,261556.76,523635.08,1183427.11,2,325,324786,84138-1102,84138
MS0006AA,Dan M. Russell Jr U.,MS0006AA-Dan M. Russell Jr U.,MS,436969.82,436347.58,303956.49,1177273.89,5,80,161929,39501-2038,39501
AZ0052ZZ,Federal Building & C,AZ0052ZZ-Federal Building & C,AZ,365706.73,321008.06,470003.56,1156718.35,3,300,288634,85003-0230,85003
FL0082ZZ,George C. Young Fed.,FL0082ZZ-George C. Young Fed.,FL,451379.91,227097.30,470376.10,1148853.31,3,150,175999,32801-2231,32801
NJ0056ZZ,Fed. Bldg. 20 Washin,NJ0056ZZ-Fed. Bldg. 20 Washin,NJ,238082.14,330722.29,579088.35,1147892.78,4,250,137739,07102-3110,07102
DC0313ZZ,Judiciary Square,DC0313ZZ-Judiciary Square,DC,316776.47,197389.94,633053.18,1147219.59,4,300,102000,20001-2604,20001
TX0297ZZ,Alliance Tower,TX0297ZZ-Alliance Tower,TX,348599.44,234901.47,562826.88,1146327.79,4,505,226938,77074-2916,77074
CA0083ZZ,Federal Building,CA0083ZZ-Federal Building,CA,257319.36,109905.39,728977.83,1096202.58,3,152,160549,95814-2510,95814
LA0034ZZ,Fe Hebert Federal Bl,LA0034ZZ-Fe Hebert Federal Bl,LA,328108.97,356048.11,404305.14,1088462.22,5,400,209266,70130-3413,70130
CA9551RR,Richard H Chambers C,CA9551RR-Richard H Chambers C,CA,644096.34,153489.65,290396.71,1087982.70,4,140,146682,91105-1643,91105
TX0302ZZ,The Centre Phase 5,TX0302ZZ-The Centre Phase 5,TX,332987.73,261786.71,492693.10,1087467.54,4,300,321884,75244-4201,75244
LA0099ZZ,Jm Shaw Courthouse,LA0099ZZ-Jm Shaw Courthouse,LA,367379.52,203039.29,516232.29,1086651.10,4,150,178528,70501-6832,70501
LA0033ZZ,New Orleans Custom H,LA0033ZZ-New Orleans Custom H,LA,352210.58,209461.36,507234.66,1068906.60,3,71,296483,70130-2329,70130
MO0551AG,Frc Bldg 100,MO0551AG-Frc Bldg 100,MO,59727.71,467116.22,534684.67,1061528.60,2,25,1015363,63132-1547,63132
NV0294ZZ,Bruce R. Thompson Co,NV0294ZZ-Bruce R. Thompson Co,NV,362158.47,236403.41,438495.18,1037057.06,5,85,171312,89501-2193,89501
NH0038ZZ,Warren B. Rudman Us,NH0038ZZ-Warren B. Rudman Us,NH,263821.29,490685.01,279399.35,1033905.65,4,150,102260,03301-3954,03301
TX0292ZZ,Am Smith Federal Bld,TX0292ZZ-Am Smith Federal Bld,TX,389576.01,195650.12,446937.81,1032163.94,4,250,189738,75202-5007,75202
WA0036ZZ,Fed Office Bldg,WA0036ZZ-Fed Office Bldg,WA,487922.31,234143.00,309269.56,1031334.87,4,338,236628,98104-1055,98104
ND0037ZZ,William L. Guy Fb/Po,ND0037ZZ-William L. Guy Fb/Po,ND,242588.04,166346.87,621512.59,1030447.50,2,137,139810,58501-3869,58501
CO0533AA,Dfc Bldg 56,CO0533AA-Dfc Bldg 56,CO,404519.99,173808.47,450339.49,1028667.95,1,300,354441,80225-0000,80225
OR0053ZZ,Wayne L. Morse Us Ct,OR0053ZZ-Wayne L. Morse Us Ct,OR,423249.90,178483.72,425050.58,1026784.20,5,94,237285,97401-2705,97401
WA0035ZZ,William Kenzo Nakamu,WA0035ZZ-William Kenzo Nakamu,WA,462867.82,206629.28,357275.82,1026772.92,5,123,150913,98104-1195,98104
NC0111AB,Terry Sanford Federa,NC0111AB-Terry Sanford Federa,NC,396019.25,335898.37,284827.60,1016745.22,3,300,324013,27601-1441,27601
TX0230ZZ,Gh Mahon Fed Bldg/Co,TX0230ZZ-Gh Mahon Fed Bldg/Co,TX,256463.56,184500.40,572755.41,1013719.37,3,160,160199,79401-4037,79401
CA0235ZZ,Leo J. Ryan Federal,CA0235ZZ-Leo J. Ryan Federal,CA,313710.35,156906.33,542047.65,1012664.33,4,40,227838,94066-2350,94066
OH0194ZZ,John F Seiberling Fb,OH0194ZZ-John F Seiberling Fb,OH,357673.16,230488.17,418781.28,1006942.61,5,180,186137,44308-1813,44308
LA0097BT,Long Federal Bldg,LA0097BT-Long Federal Bldg,LA,295845.70,222960.28,482824.00,1001629.98,5,140,149637,70801-1717,70801
TX0058DA,Santa Fe Federal Bld,TX0058DA-Santa Fe Federal Bld,TX,349166.00,285053.17,356632.04,990851.21,3,400,274786,75242-1001,75242
IA0121ZZ,Courthouse,IA0121ZZ-Courthouse,IA,438356.95,1237.07,550097.27,989691.29,3,152,305999,52401-0000,52401
MI0501BC,Hart-Dole-Inouye Bld,MI0501BC-Hart-Dole-Inouye Bld,MI,502179.72,234101.52,250623.24,986904.48,5,699,221635,49037-3001,49037
ID0025ZZ,James A Mcclure Fed,ID0025ZZ-James A Mcclure Fed,ID,432565.64,181685.14,370616.42,984867.20,3,300,250147,83724-0101,83724
KS0092ZZ,Frank Carlson Fb&Ct,KS0092ZZ-Frank Carlson Fb&Ct,KS,350738.22,301217.20,329297.55,981252.97,5,395,192479,66683-3503,66683
MI0137ZZ,Gerald R. Ford Build,MI0137ZZ-Gerald R. Ford Build,MI,412330.62,277101.68,290879.27,980311.57,5,150,182435,49503-2313,49503
NM0061ZZ,Las Cruces Courthous,NM0061ZZ-Las Cruces Courthous,NM,261131.77,369996.76,342242.15,973370.68,4,160,183124,88001-3572,88001
MI0503BC,Fed Ctr Bldg No 2,MI0503BC-Fed Ctr Bldg No 2,MI,488861.97,242815.20,241294.19,972971.36,5,494,214800,49037-3085,49037
OK0063ZZ,Tulsa Federal Bldg,OK0063ZZ-Tulsa Federal Bldg,OK,140665.58,99456.16,725401.16,965522.90,4,50,116904,74103-3006,74103
AK0029ZZ,Federal Building,AK0029ZZ-Federal Building,AK,257226.63,408334.61,295269.33,960830.57,4,114,100838,99701-6236,99701
FL0089ZZ,Fb-Ct,FL0089ZZ-Fb-Ct,FL,326010.13,303269.26,320938.46,950217.85,1,200,168923,33301-1944,33301
TX0319ZZ,Armenadriz U.S. Cour,TX0319ZZ-Armenadriz U.S. Cour,TX,280995.55,380831.30,276731.90,938558.75,1,80,210803,79901-2503,79901
MO0570AG,Chas F Prevedel Fb,MO0570AG-Chas F Prevedel Fb,MO,426111.18,46653.66,460960.37,933725.21,4,108,377024,63132-1547,63132
OK0101ZZ,Oklahoma City Federa,OK0101ZZ-Oklahoma City Federa,OK,319702.26,401285.78,202668.55,923656.59,4,350,167254,73102-2823,73102
MD0006ZZ,Us Customhouse,MD0006ZZ-Us Customhouse,MD,332319.00,326228.36,264059.24,922606.60,4,175,135148,21202-4022,21202
GA0077AC,"Juliette Gordon Low,","GA0077AC-Juliette Gordon Low,",GA,404335.12,289893.03,228347.77,922575.92,4,514,181600,31401-3604,31401
FL0030ZZ,"Alto Lee Adams, Sr.","FL0030ZZ-Alto Lee Adams, Sr.",FL,249658.85,326420.61,339225.36,915304.82,1,47,123400,34950-0000,34950
TN0006ZZ,Joel W.Solomon Fbct,TN0006ZZ-Joel W.Solomon Fbct,TN,388294.80,192360.48,332826.71,913481.99,5,165,119383,37403-0000,37403
OH0046ZZ,Kinneary Us Cthse,OH0046ZZ-Kinneary Us Cthse,OH,393632.47,219443.09,298960.93,912036.49,4,165,214440,43215-2823,43215
CO0054ZZ,Cesar E. Chavez Memo,CO0054ZZ-Cesar E. Chavez Memo,CO,325844.74,252638.12,331933.97,910416.83,4,391,188807,00008-0204,00008
NV0013ZZ,Foley Fob & Courthou,NV0013ZZ-Foley Fob & Courthou,NV,346160.22,173937.72,388165.21,908263.15,3,109,196077,89101-5833,89101
OH0208CL,Bricker Federal Bldg,OH0208CL-Bricker Federal Bldg,OH,368969.57,280908.84,254344.26,904222.67,3,350,228555,43215-2463,43215
WA0064ZZ,Thomas S. Foley Us C,WA0064ZZ-Thomas S. Foley Us C,WA,453006.74,193411.14,251575.89,897993.77,4,260,235792,99201-1010,99201
OK0046CT,Okc Post Office/Cour,OK0046CT-Okc Post Office/Cour,OK,383484.10,316453.79,195619.53,895557.42,1,253,199632,73102-3440,73102
GA0008ZZ,Elbert P. Tuttle Us,GA0008ZZ-Elbert P. Tuttle Us,GA,268185.34,251777.20,363861.70,883824.24,4,45,173676,30303-2289,30303
TX0057ZZ,Terminal Annex Feder,TX0057ZZ-Terminal Annex Feder,TX,248897.23,123132.33,511787.48,883817.04,2,100,222057,75242-4728,75242
MO0134ZZ,8930 Ward Pky Federa,MO0134ZZ-8930 Ward Pky Federa,MO,463928.08,190699.42,210979.25,865606.75,4,352,193055,64114-3302,64114
AL0011ZZ,Robert S. Vance Fb-C,AL0011ZZ-Robert S. Vance Fb-C,AL,332597.44,94407.06,437057.57,864062.07,5,40,157252,00003-5203,00003
WY0029ZZ,Joseph C O'Mahoney F,WY0029ZZ-Joseph C O'Mahoney F,WY,305099.24,291561.79,264095.49,860756.52,4,140,207777,82001-3633,82001
AR0085RK,Little Rock Uspo/Cth,AR0085RK-Little Rock Uspo/Cth,AR,288298.78,199611.50,372290.47,860200.75,4,50,153323,72201-3329,72201
WV0226ZZ,244 Needy Road,WV0226ZZ-244 Needy Road,WV,334330.67,229669.24,289126.16,853126.07,3,450,151187,25401-9431,25401
AR0030RK,Little Rock Uspo/Cou,AR0030RK-Little Rock Uspo/Cou,AR,301595.00,19184.96,525581.93,846361.89,1,80,251194,72201-3329,72201
CO0006ZZ,Fb-Cu,CO0006ZZ-Fb-Cu,CO,386227.77,245891.54,212991.31,845110.62,4,317,247309,80202-2500,80202
LA0035ZZ,Jm Wisdom Courthouse,LA0035ZZ-Jm Wisdom Courthouse,LA,288173.03,241674.41,314685.53,844532.97,5,40,180096,70130-3425,70130
TX0501HS,San Antonio Federal,TX0501HS-San Antonio Federal,TX,227047.18,345799.56,255266.34,828113.08,2,250,163060,78206-1209,78206
ME0061ZZ,M.C. Smith Fb Poch,ME0061ZZ-M.C. Smith Fb Poch,ME,264386.02,348515.81,212093.34,824995.17,5,101,127173,04401-4901,04401
OH0195ZZ,Fed Bldg & Us Cthse,OH0195ZZ-Fed Bldg & Us Cthse,OH,366792.39,194948.40,259264.49,821005.28,2,234,151686,45402-1443,45402
UT0017ZZ,Frank E Moss Courtho,UT0017ZZ-Frank E Moss Courtho,UT,202632.71,158567.04,451554.97,812754.72,3,58,234293,84101-2106,84101
FL0004ZZ,Us Crthse Annex,FL0004ZZ-Us Crthse Annex,FL,250889.75,263679.86,295405.26,809974.87,5,96,143710,32301-7736,32301
DE0016ZZ,J. Caleb Boggs Ch Fb,DE0016ZZ-J. Caleb Boggs Ch Fb,DE,392826.14,215926.04,198115.01,806867.19,5,125,180104,19801-3519,19801
CT0061ZZ,Robert N Giaimo Fb,CT0061ZZ-Robert N Giaimo Fb,CT,201675.00,301088.48,299472.07,802235.55,4,160,129553,06510-2022,06510
WV0171ZZ,Robert C. Byrd Fb &,WV0171ZZ-Robert C. Byrd Fb &,WV,249938.34,274153.26,273090.98,797182.58,5,250,160415,25801-4501,25801
TX0164ZZ,Hipolito F. Garcia F,TX0164ZZ-Hipolito F. Garcia F,TX,291844.34,146135.42,356780.37,794760.13,5,63,219061,78205-2001,78205
VT0024ZZ,Federal Bldg Uspo Ct,VT0024ZZ-Federal Bldg Uspo Ct,VT,341758.36,195018.17,256629.73,793406.26,4,155,134396,05401-4366,05401
NJ5003ZZ,Mitchell H Cohen Us,NJ5003ZZ-Mitchell H Cohen Us,NJ,323608.77,254563.78,211344.48,789517.03,3,70,147258,08102-1570,08102
OR0023ZZ,Gus J. Solomon Cthse,OR0023ZZ-Gus J. Solomon Cthse,OR,274726.15,176145.03,333676.76,784547.94,3,242,162010,97205-3037,97205
TX0250AU,Homer Thornberry Bld,TX0250AU-Homer Thornberry Bld,TX,238501.00,322083.60,223920.11,784504.71,4,120,179418,78701-2449,78701
VA0054ZZ,Walter E Hoffman Us,VA0054ZZ-Walter E Hoffman Us,VA,324687.52,219654.89,232573.97,776916.38,2,179,199980,23510-1915,23510
KS0070ZZ,U S Court House,KS0070ZZ-U S Court House,KS,271450.73,192952.99,310106.89,774510.61,4,107,147110,67202-2089,67202
MA0011ZZ,Cpt Jf Williams Cg B,MA0011ZZ-Cpt Jf Williams Cg B,MA,226797.67,267448.69,279859.72,774106.08,4,216,93300,02110-3349,02110
TX0313ZZ,Corpus Christi Court,TX0313ZZ-Corpus Christi Court,TX,210384.75,270053.86,292591.99,773030.60,5,130,145290,78401-2003,78401
VA1608ZZ,Federal Building,VA1608ZZ-Federal Building,VA,291783.10,218253.00,262660.80,772696.90,5,364,167053,23510-1811,23510
ND0046ZZ,Fb-Po,ND0046ZZ-Fb-Po,ND,393986.57,148124.69,226651.23,768762.49,4,75,270884,58102-4727,58102
FL0009ZZ,Ft. Myers Fed. Bldg.,FL0009ZZ-Ft. Myers Fed. Bldg.,FL,235572.57,250642.22,275387.52,761602.31,4,71,145505,33901-3000,33901
CT0059ZZ,Brien Mcmahon Usch&F,CT0059ZZ-Brien Mcmahon Usch&F,CT,234147.78,213996.91,298790.62,746935.31,3,115,116391,06604-4706,06604
FL0066AC,Paul G Rogers Fb-Ct,FL0066AC-Paul G Rogers Fb-Ct,FL,194922.85,342040.82,206633.81,743597.48,1,62,73248,33401-5101,33401
TX0808FW,Fed Ctr Bldg 23 Offi,TX0808FW-Fed Ctr Bldg 23 Offi,TX,261517.43,222252.40,257474.90,741244.73,2,169,105193,76115-3400,76115
IL0173ZZ,Paul Findley Buildin,IL0173ZZ-Paul Findley Buildin,IL,295160.70,156521.06,287414.37,739096.13,3,65,127123,62701-1626,62701
WA0120BN,Pac Highway Auto Bus,WA0120BN-Pac Highway Auto Bus,WA,292540.29,282539.09,162910.63,737990.01,1,53,30418,98230-9242,98230
MA0051ZZ,Springfield Federal,MA0051ZZ-Springfield Federal,MA,243518.84,235780.99,254212.15,733511.98,4,70,127005,01105-1811,01105
MO0147ZZ,Rush Hudson Limbaugh,MO0147ZZ-Rush Hudson Limbaugh,MO,295463.43,158435.92,278720.01,732619.36,4,60,138548,63703-6235,63703
IL2125ZZ,11 W Quincy Court,IL2125ZZ-11 W Quincy Court,IL,216796.15,93775.25,420190.55,730761.95,5,157,100553,60604-3908,60604
AL0076AB,Federal Building,AL0076AB-Federal Building,AL,373074.52,119975.27,233898.42,726948.21,4,620,196575,36602-3605,36602
CT0013ZZ,William R. Cotter Fb,CT0013ZZ-William R. Cotter Fb,CT,258780.51,238210.47,219268.56,716259.54,4,152,157931,06103-1125,06103
MN0015ZZ,G W Heaney F.B. & Us,MN0015ZZ-G W Heaney F.B. & Us,MN,208049.42,173075.00,321491.57,702615.99,4,66,125885,55802-1302,55802
CA0903OO,Usgs Bldg 3,CA0903OO-Usgs Bldg 3,CA,185889.46,216343.29,290525.80,692758.55,4,25,89558,94025-3561,94025
MO0531AD,Fed Bldg No 2,MO0531AD-Fed Bldg No 2,MO,341674.93,192330.49,157900.60,691906.02,3,615,260524,64131-3009,64131
SD0040ZZ,Fb,SD0040ZZ-Fb,SD,259276.17,154053.81,278456.10,691786.08,3,320,210466,00005-7401,00005
MT0017ZZ,Fb-Po-Ct,MT0017ZZ-Fb-Po-Ct,MT,466297.61,99374.28,125649.28,691321.17,2,150,129921,59802-4530,59802
TX0227AU,Jj Pickle Federal Bl,TX0227AU-Jj Pickle Federal Bl,TX,298134.25,81024.16,310135.82,689294.23,4,200,214795,78701-3233,78701
NY0002ZZ,James T. Foley Uspo,NY0002ZZ-James T. Foley Uspo,NY,296795.72,205528.97,186763.10,689087.79,2,124,198339,12207-2936,12207
NJ0088ZZ,Clarkson S Fisher Fb,NJ0088ZZ-Clarkson S Fisher Fb,NJ,304739.59,190024.11,193036.27,687799.97,4,99,163375,08608-1507,08608
NJ5002ZZ,Clarkson S Fisher Us,NJ5002ZZ-Clarkson S Fisher Us,NJ,279700.93,203926.62,199258.39,682885.94,3,135,123370,08608-1507,08608
UT0035ZZ,James V Hansen Feder,UT0035ZZ-James V Hansen Feder,UT,228747.34,170535.94,280912.83,680196.11,4,235,206345,84401-2310,84401
NH0030ZZ,James C. Cleveland F,NH0030ZZ-James C. Cleveland F,NH,168470.80,345700.85,153476.60,667648.25,4,100,109602,03301-3954,03301
AL0010ZZ,Federal Building-Cou,AL0010ZZ-Federal Building-Cou,AL,251663.64,209980.92,204174.37,665818.93,5,100,102168,35401-1521,35401
RI0009ZZ,Federal Bldg Usct,RI0009ZZ-Federal Bldg Usct,RI,213205.73,221636.06,220980.55,655822.34,5,50,123094,02903-1270,02903
NY0300ZZ,Leo W Obrien Fb,NY0300ZZ-Leo W Obrien Fb,NY,318320.51,116543.56,215563.71,650427.78,4,313,197851,12207-2335,12207
CA0221ZZ,John F Shea Fed Bldg,CA0221ZZ-John F Shea Fed Bldg,CA,183826.02,127769.69,336177.14,647772.85,4,70,70541,95404-4731,95404
TN0076ZZ,John J. Duncan Fb,TN0076ZZ-John J. Duncan Fb,TN,248847.18,145967.87,252104.93,646919.98,5,518,120171,37902-2540,37902
DC0078ZZ,1724 F Street Nw,DC0078ZZ-1724 F Street Nw,DC,110838.66,188098.42,345142.00,644079.08,4,80,4689,20006-0000,20006
VA0087ZZ,Federal Building,VA0087ZZ-Federal Building,VA,260017.35,232667.06,143496.87,636181.28,4,437,132929,23704-3818,23704
CT0024ZZ,New Haven Courthouse,CT0024ZZ-New Haven Courthouse,CT,202816.91,158753.10,269684.61,631254.62,4,75,116756,06510-0000,06510
TX0502HS,J Wood Courthouse,TX0502HS-J Wood Courthouse,TX,160324.14,211312.95,259168.17,630805.26,1,75,114990,78206-1100,78206
AL0039AB,John A Campbell Usct,AL0039AB-John A Campbell Usct,AL,231608.23,168723.53,229271.87,629603.63,1,88,103526,36602-3606,36602
WA0831KF,Building 7,WA0831KF-Building 7,WA,404832.99,7831.38,211451.46,624115.83,4,523,201065,98001-7426,98001
GA0078ZZ,Tomochichi Fb-Ch,GA0078ZZ-Tomochichi Fb-Ch,GA,254727.70,167865.50,200628.84,623222.04,4,50,110742,31401-3749,31401
MA0113ZZ,Harold D. Donohue Fe,MA0113ZZ-Harold D. Donohue Fe,MA,217691.46,188446.87,215209.18,621347.51,5,54,96724,01608-2093,01608
GA0030ZZ,John C. Godbold Fede,GA0030ZZ-John C. Godbold Fede,GA,165436.42,238132.49,216287.53,619856.44,4,130,110482,30303-0000,30303
IL0235FC,Uspo Loop Station,IL0235FC-Uspo Loop Station,IL,122197.84,417660.37,62650.84,602509.05,3,5,136173,60604-1501,60604
NJ0145ZZ,Robert A. Roe Fb,NJ0145ZZ-Robert A. Roe Fb,NJ,146592.33,156928.38,289656.76,593177.47,4,176,53663,07505-1961,07505
IA0119ZZ,Fed Bldg Uspo,IA0119ZZ-Fed Bldg Uspo,IA,273246.02,52884.59,264598.12,590728.73,2,70,74521,52240-4105,52240
TN0012ZZ,James H. Quillen Usc,TN0012ZZ-James H. Quillen Usc,TN,245689.43,159278.31,180088.46,585056.20,5,75,136103,37743-1100,37743
MO0022ZZ,Christopher Bond Cth,MO0022ZZ-Christopher Bond Cth,MO,264334.85,85214.60,231575.85,581125.30,5,54,6750,65101-4055,65101
CA0092AA,Us Custom House,CA0092AA-Us Custom House,CA,270279.53,5512.94,301503.05,577295.52,2,100,120308,94111-2312,94111
NH0037ZZ,Norris Cotton Fb,NH0037ZZ-Norris Cotton Fb,NH,208377.41,143157.14,220568.34,572102.89,5,167,104022,03101-2411,03101
TX0316ZZ,Brownsville Fed Bldg,TX0316ZZ-Brownsville Fed Bldg,TX,233412.76,217347.96,120774.76,571535.48,4,193,173302,78520-7176,78520
TX0311ZZ,Laredo Federal Bldg/,TX0311ZZ-Laredo Federal Bldg/,TX,191393.56,149875.80,230103.78,571373.14,2,169,125578,78040-5016,78040
SC0058ZZ,J.L. Mcmillan Fb-Ct,SC0058ZZ-J.L. Mcmillan Fb-Ct,SC,240098.38,143258.88,187465.26,570822.52,3,90,99989,29501-3460,29501
WV0030ZZ,Federal Office Build,WV0030ZZ-Federal Office Build,WV,191777.87,153815.95,223872.18,569466.00,4,86,138154,26101-5352,26101
WY0030ZZ,Dick Cheney Fb,WY0030ZZ-Dick Cheney Fb,WY,256892.92,105835.45,205327.68,568056.05,5,135,120114,82601-1962,82601
SD0038ZZ,Fb,SD0038ZZ-Fb,SD,243259.04,86808.97,236878.97,566946.98,2,205,80926,57350-2431,57350
TX0272ZZ,Rc White Federal Bld,TX0272ZZ-Rc White Federal Bld,TX,175407.24,199030.93,189314.74,563752.91,4,150,167719,79901-7020,79901
AK0001ZZ,Anchorage Fed Build,AK0001ZZ-Anchorage Fed Build,AK,264456.68,130570.38,157768.79,552795.85,3,97,91360,99501-2248,99501
VA0063ZZ,Lewis F Powell Jr Us,VA0063ZZ-Lewis F Powell Jr Us,VA,175041.11,174266.76,195707.42,545015.29,5,10,175961,23219-3518,23219
MA0129ZZ,Philip J Philbin Fob,MA0129ZZ-Philip J Philbin Fob,MA,185919.23,193559.45,164986.42,544465.10,5,80,76613,01420-3007,01420
GA0118ZZ,Fb-Po-Ct,GA0118ZZ-Fb-Po-Ct,GA,242051.89,129577.31,170240.11,541869.31,2,40,91134,30161-3149,30161
IA0030ZZ,U S Courthouse,IA0030ZZ-U S Courthouse,IA,208315.75,87516.40,245592.86,541425.01,4,85,73142,50309-2035,50309
AR0078ZZ,Pine Bluff Fob/Uspo/,AR0078ZZ-Pine Bluff Fob/Uspo/,AR,158817.53,117829.00,261034.79,537681.32,5,30,101408,71601-5004,71601
RI0010ZZ,J O Pastore Fb Uspo,RI0010ZZ-J O Pastore Fb Uspo,RI,181398.09,149093.72,206389.41,536881.22,4,50,110060,02903-1737,02903
WA0118ZZ,Fda Bldg,WA0118ZZ-Fda Bldg,WA,182758.57,240779.53,103230.56,526768.66,1,64,57796,98021-4421,98021
NH0036ZZ,Thomas J Mcintyre Fb,NH0036ZZ-Thomas J Mcintyre Fb,NH,148131.66,218425.57,154043.89,520601.12,5,144,86056,00000-3801,00000
TX0075ZZ,Eldon B. Mahon Us Co,TX0075ZZ-Eldon B. Mahon Us Co,TX,181222.61,116457.13,221090.94,518770.68,3,95,119275,76102-6100,76102
OR0051ZZ,Eugene Federal Build,OR0051ZZ-Eugene Federal Build,OR,193891.38,117213.93,202455.06,513560.37,4,154,98511,97401-2773,97401
KY0013ZZ,Covington U.S. Crths,KY0013ZZ-Covington U.S. Crths,KY,194163.16,119005.99,190947.99,504117.14,3,45,100973,41011-0000,41011
NV0012ZZ,C. Clifton Young Fob,NV0012ZZ-C. Clifton Young Fob,NV,190409.38,76637.22,234113.46,501160.06,2,73,116849,89509-1317,89509
IL0154ZZ,Fed Bldg & Us Cthse,IL0154ZZ-Fed Bldg & Us Cthse,IL,182529.49,76073.07,235665.40,494267.96,5,92,108125,61602-1003,61602
FL0064AE,R L Timberlake Jr Fb,FL0064AE-R L Timberlake Jr Fb,FL,178289.26,156446.89,159530.11,494266.26,4,204,99076,33602-3917,33602
TX0101ZZ,Houston Customs Hous,TX0101ZZ-Houston Customs Hous,TX,205949.14,50167.74,237936.41,494053.29,3,91,136161,77002-3673,77002
ND0006ZZ,Fb-Ct,ND0006ZZ-Fb-Ct,ND,129046.10,262876.22,100944.10,492866.42,3,45,92610,58102-4932,58102
MS0079ZZ,United States Courth,MS0079ZZ-United States Courth,MS,146755.92,149591.28,192285.16,488632.36,4,76,68200,38655-3632,38655
MO0618AF,Federal Ctr Bg 110,MO0618AF-Federal Ctr Bg 110,MO,136794.49,121022.79,225707.44,483524.72,4,197,139938,63120-1703,63120
WA0059ZZ,Fed Arch & Rec Ctr,WA0059ZZ-Fed Arch & Rec Ctr,WA,145802.29,100706.50,236405.96,482914.75,2,30,183908,98115-7959,98115
IA0027ZZ,United States Courth,IA0027ZZ-United States Courth,IA,184522.32,64253.81,228327.40,477103.53,5,57,68391,52801-1516,52801
WA0811KA,Administration Bldg,WA0811KA-Administration Bldg,WA,268324.11,103683.09,103533.78,475540.98,3,370,100748,98001-6505,98001
SD0021ZZ,U.S. Courthouse,SD0021ZZ-U.S. Courthouse,SD,169391.23,79433.94,224480.97,473306.14,5,66,64413,00005-7104,00005
MI0118ZZ,Federal Bldg,MI0118ZZ-Federal Bldg,MI,159792.62,107568.24,203244.20,470605.06,2,75,71004,48104-2129,48104
FL0057ZZ,Golden-Collum Fb-Ct,FL0057ZZ-Golden-Collum Fb-Ct,FL,131037.11,126797.77,211444.98,469279.86,4,38,57374,34475-6603,34475
GA0138ZZ,"R.G. Stephens,Jr Fb","GA0138ZZ-R.G. Stephens,Jr Fb",GA,189713.61,105798.91,172892.78,468405.30,1,186,80088,30605-4743,30605
IN0031ZZ,E. Ross Adair Federa,IN0031ZZ-E. Ross Adair Federa,IN,213756.10,91234.99,162341.93,467333.02,4,77,100542,46802-3495,46802
NM0038ZZ,Gallup Federal Bldg,NM0038ZZ-Gallup Federal Bldg,NM,126759.04,127119.58,208934.85,462813.47,1,115,68763,87301-6348,87301
CO0046ZZ,Fb-Po,CO0046ZZ-Fb-Po,CO,160815.85,57370.94,243447.82,461634.61,4,60,76658,80521-2700,80521
KY0042ZZ,Po-Ct,KY0042ZZ-Po-Ct,KY,192467.12,125721.00,138114.17,456302.29,2,72,84161,40507-1313,40507
MN0036ZZ,Federal Building,MN0036ZZ-Federal Building,MN,176636.51,112479.89,167182.29,456298.69,4,25,143197,55401-2556,55401
OH0143ZZ,James M. Ashley And,OH0143ZZ-James M. Ashley And,OH,178900.07,115079.76,156615.63,450595.46,1,65,80844,43604-5363,43604
TX0220MD,G Mahon Post Office/,TX0220MD-G Mahon Post Office/,TX,166942.87,76659.80,206542.77,450145.44,4,70,91511,79701-5233,79701
IA0087ZZ,Fed Bldg & Us Cthse,IA0087ZZ-Fed Bldg & Us Cthse,IA,144567.45,82396.21,223139.94,450103.60,5,80,98610,51101-1210,51101
IN0096ZZ,Robert Grant Federal,IN0096ZZ-Robert Grant Federal,IN,174990.97,93998.77,177879.68,446869.42,2,94,90786,46601-2122,46601
