Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
DC0566ZZ,Atf National Headqua,DC0566ZZ-Atf National Headqua,DC,903851.52,1227953.76,1847699.39,3979504.67,3,850,30165,20000-0000,20000
DC0010ZZ,Lyndon B. Johnson Fe,DC0010ZZ-Lyndon B. Johnson Fe,DC,1219036.96,1024109.37,1681424.87,3924571.20,3,1150,55080,20202-0001,20202
DC0084ZZ,Wilbur Wright,DC0084ZZ-Wilbur Wright,DC,1043738.74,1861401.54,1015184.12,3920324.40,3,800,33821,20003-0000,20003
GA0087AD,Peachtree Summit Fb,GA0087AD-Peachtree Summit Fb,GA,1188838.99,1455358.18,1228749.80,3872946.97,4,500,803866,30308-3510,30308
MD0055ZZ,G H Fallon Fed Bldg,MD0055ZZ-G H Fallon Fed Bldg,MD,1269456.71,1490385.05,1074688.03,3834529.79,4,925,584284,21201-2825,21201
CA0305ZZ,San Francisco Federa,CA0305ZZ-San Francisco Federa,CA,1307830.24,1002457.02,1446931.07,3757218.33,2,900,523208,94103-1516,94103
DC0521AB,Epa East,DC0521AB-Epa East,DC,840184.45,1897570.53,802623.56,3540378.54,4,800,43667,20423-0001,20423
MD0056AG,Wash Nat Records Ct,MD0056AG-Wash Nat Records Ct,MD,597471.85,1512295.23,1394387.45,3504154.53,4,115,79813,20746-8000,20746
WA0101ZZ,Jackson Fb,WA0101ZZ-Jackson Fb,WA,1380172.71,1007130.31,1114182.29,3501485.31,3,1856,710279,98174-1009,98174
IL0303ZZ,Metcalfe Building,IL0303ZZ-Metcalfe Building,IL,1321154.74,781272.02,1390169.84,3492596.60,4,1200,711662,60604-3511,60604
PA0277BG,Wm J Green Jr Fb,PA0277BG-Wm J Green Jr Fb,PA,1285747.34,1277097.06,927313.22,3490157.62,4,1000,713506,19106-1611,19106
CA0283CC,Edward R Roybal Fb &,CA0283CC-Edward R Roybal Fb &,CA,1037994.44,948217.79,1465285.72,3451497.95,5,650,749854,90012-3332,90012
MA0013ZZ,John W. Mccormack Bu,MA0013ZZ-John W. Mccormack Bu,MA,914321.89,1199818.45,1319455.62,3433595.96,2,550,556865,02109-0000,02109
AK0031AA,Us Federal Building,AK0031AA-Us Federal Building,AK,1127267.20,1124849.18,1140798.95,3392915.33,3,804,456155,99513-7500,99513
MI0029ZZ,Theodore Levin Us Co,MI0029ZZ-Theodore Levin Us Co,MI,1047280.55,1096272.52,1120162.75,3263715.82,5,315,603999,48226-2700,48226
DC0522AB,Epa West,DC0522AB-Epa West,DC,802338.11,1688809.89,737676.64,3228824.64,2,1000,40354,20001-0000,20001
MA0153ZZ,Thomas P. O Neill Jr,MA0153ZZ-Thomas P. O Neill Jr,MA,1305124.43,621054.80,1277659.89,3203839.12,3,1220,667139,02222-1047,02222
NY0131ZZ,Alex Hamilton Us Cus,NY0131ZZ-Alex Hamilton Us Cus,NY,649194.77,995701.35,1558119.67,3203015.79,5,200,382085,10004-1415,10004
TX0284DA,E Cabell Fob/Uspo/Ct,TX0284DA-E Cabell Fob/Uspo/Ct,TX,1144707.12,804437.85,1153161.77,3102306.74,4,1600,898399,75242-1001,75242
DC0026ZZ,Lafayette,DC0026ZZ-Lafayette,DC,706458.19,1089035.84,1303397.55,3098891.58,2,500,46681,20009-0000,20009
MN0092ZZ,U.S. Courthouse,MN0092ZZ-U.S. Courthouse,MN,941288.24,1342994.50,783002.67,3067285.41,5,425,474100,55415-1320,55415
CA0295ZZ,Ronald Reagan Fb & C,CA0295ZZ-Ronald Reagan Fb & C,CA,1058984.84,862250.39,1141348.54,3062583.77,5,250,506215,92701-4500,92701
DC0463ZZ,"601 - 4th St, Nw","DC0463ZZ-601 - 4th St, Nw",DC,1204317.40,530907.09,1282630.84,3017855.33,5,1100,31653,20001-2605,20001
NY0270ZZ,Emanuel Celler Us Co,NY0270ZZ-Emanuel Celler Us Co,NY,645197.16,1038291.84,1312244.73,2995733.73,4,318,294394,11201-1818,11201
CA0309ZZ,Robert E. Coyle Fede,CA0309ZZ-Robert E. Coyle Fede,CA,751534.06,751001.48,1464401.04,2966936.58,3,250,392508,93721-1321,93721
CA0168ZZ,Federal Building,CA0168ZZ-Federal Building,CA,960016.97,1122814.60,857729.55,2940561.12,5,250,515903,90024-3602,90024
PA0158ZZ,United States Courth,PA0158ZZ-United States Courth,PA,985686.47,1220058.28,687419.51,2893164.26,4,486,703986,15219-1906,15219
VA0321ZZ,Av Bryan Sr Courthou,VA0321ZZ-Av Bryan Sr Courthou,VA,898264.74,551027.07,1372993.84,2822285.65,3,250,31373,22314-5702,22314
PA0278BG,James A Byrne Us Cou,PA0278BG-James A Byrne Us Cou,PA,1263043.68,807733.46,673990.07,2744767.21,4,646,738524,19106-1729,19106
